k,run,elapsed_ms
1,1,37
1,2,19
1,3,38
1,4,25
1,5,31
2,1,17
2,2,13
2,3,26
2,4,45
2,5,26
3,1,11
3,2,17
3,3,16
3,4,13
3,5,14
4,1,20
4,2,18
4,3,12
4,4,19
4,5,21
5,1,16
5,2,16
5,3,15
5,4,15
5,5,24
7,1,14
7,2,29
7,3,12
7,4,11
7,5,13
9,1,15
9,2,15
9,3,10
9,4,14
9,5,12
11,1,10
11,2,15
11,3,6
11,4,14
11,5,12
13,1,15
13,2,9
13,3,12
13,4,9
13,5,12
15,1,9
15,2,11
15,3,9
15,4,14
15,5,21
25,1,9
25,2,4
25,3,8
25,4,4
25,5,11
35,1,6
35,2,7
35,3,6
35,4,5
35,5,6
45,1,10
45,2,5
45,3,9
45,4,5
45,5,5
55,1,10
55,2,6
55,3,6
55,4,6
55,5,5
75,1,9
75,2,9
75,3,5
75,4,5
75,5,8
95,1,8
95,2,5
95,3,4
95,4,6
95,5,10
